SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,list/pref_1var_4_5occ/29,,FAILED
ZipRewrite,list/pref_1var_4_5occ/3,,FAILED
ZipRewrite,list/pref_1var_4_5occ/30,,FAILED
ZipRewrite,list/pref_1var_4_5occ/31,,FAILED
ZipRewrite,list/pref_1var_4_5occ/32,,FAILED
ZipRewrite,list/pref_1var_4_5occ/33,,FAILED
ZipRewrite,list/pref_1var_4_5occ/34,,FAILED
ZipRewrite,list/pref_1var_4_5occ/35,,FAILED
ZipRewrite,list/pref_1var_4_5occ/36,,FAILED
ZipRewrite,list/pref_1var_4_5occ/37,,FAILED
ZipRewrite,list/pref_1var_4_5occ/38,,FAILED
ZipRewrite,list/pref_1var_4_5occ/39,,FAILED
ZipRewrite,list/pref_1var_4_5occ/4,,FAILED
ZipRewrite,list/pref_1var_4_5occ/40,,FAILED
ZipRewrite,list/pref_1var_4_5occ/41,,FAILED
ZipRewrite,list/pref_1var_4_5occ/42,,FAILED
ZipRewrite,list/pref_1var_4_5occ/43,,FAILED
ZipRewrite,list/pref_1var_4_5occ/44,,FAILED
ZipRewrite,list/pref_1var_4_5occ/45,,FAILED
ZipRewrite,list/pref_1var_4_5occ/46,,FAILED
ZipRewrite,list/pref_1var_4_5occ/47,,FAILED
ZipRewrite,list/pref_1var_4_5occ/48,,FAILED
ZipRewrite,list/pref_1var_4_5occ/49,,FAILED
ZipRewrite,list/pref_1var_4_5occ/5,,FAILED
ZipRewrite,list/pref_1var_4_5occ/6,,FAILED
ZipRewrite,list/pref_1var_4_5occ/7,,FAILED
ZipRewrite,list/pref_1var_4_5occ/8,,FAILED
ZipRewrite,list/pref_1var_4_5occ/9,,FAILED
ZipRewrite,list/pref_1var_1_3occ/0,,SOLVED
ZipRewrite,list/pref_1var_1_3occ/1,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/0,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/1,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/10,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/11,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/12,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/13,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/14,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/15,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/16,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/17,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/18,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/19,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/2,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/20,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/21,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/22,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/23,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/24,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/25,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/26,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/27,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/28,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/29,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/3,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/30,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/31,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/32,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/33,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/34,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/35,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/36,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/37,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/38,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/39,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/4,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/40,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/41,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/42,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/43,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/44,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/45,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/46,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/47,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/48,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/49,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/5,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/6,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/7,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/8,,SOLVED
ZipRewrite,list/pref_1var_5_5occ/9,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/0,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/1,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/10,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/11,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/12,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/13,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/14,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/15,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/16,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/17,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/18,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/19,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/2,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/20,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/21,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/22,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/23,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/24,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/25,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/26,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/27,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/28,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/29,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/3,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/30,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/31,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/32,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/33,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/34,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/35,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/36,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/37,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/38,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/39,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/4,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/40,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/41,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/42,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/43,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/44,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/45,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/46,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/47,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/48,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/49,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/5,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/6,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/7,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/8,,SOLVED
ZipRewrite,list/pref_1var_3_7occ/9,,SOLVED
ZipRewrite,list/pref_2var_1_2occ/0,,SOLVED
ZipRewrite,list/pref_1var_3_3occ/0,,SOLVED
ZipRewrite,list/pref_1var_3_3occ/1,,SOLVED
